Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
 22 february 2014,Liga,Real Sociedad,Real Sociedad,FC Barcelona,36,1,1,,Left foot,Lost
 9 february 2014,Liga,Sevilla,Sevilla,FC Barcelona,56,1,3,,Left foot,Won
 9 february 2014,Liga,Sevilla,Sevilla,FC Barcelona,44,1,2,,Left foot,Won
 27 april 2013,Liga,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,67,1,1,Solo run,Left foot,Draw
 30 march 2013,Liga,Celta de Vigo,Celta de Vigo,FC Barcelona,73,1,2,,Left foot,Draw
 2 march 2013,Liga,Real Madrid,Real Madrid,FC Barcelona,18,1,1,,Left foot,Lost
 16 february 2013,Liga,Granada,Granada,FC Barcelona,73,1,2,Free kick,Left foot,Won
 16 february 2013,Liga,Granada,Granada,FC Barcelona,50,1,1,Rebound,Right foot,Won
 3 february 2013,Liga,Valencia,Valencia,FC Barcelona,39,1,1,Penalty,Left foot,Draw
 11 november 2012,Liga,Real Mallorca,Real Mallorca,FC Barcelona,70,2,4,,Left foot,Won
 20 october 2012,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,77,3,5,,Left foot,Won
 20 october 2012,Liga,Deportivo La Coruna,Deportivo La Coruna,FC Barcelona,43,2,4,,Right foot,Won
 26 august 2012,Liga,Osasuna,Osasuna,FC Barcelona,80,1,2,,Left foot,Won
 26 august 2012,Liga,Osasuna,Osasuna,FC Barcelona,76,1,1,,Left foot,Won
 14 april 2012,Liga,Levante,Levante,FC Barcelona,72,1,2,Penalty,Left foot,Won
 14 april 2012,Liga,Levante,Levante,FC Barcelona,64,1,1,Field goal,Left foot,Won
 7 april 2012,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,86,1,3,Penalty,Left foot,Won
 7 april 2012,Liga,Real Zaragoza,Real Zaragoza,FC Barcelona,39,1,2,,Left foot,Won
 26 february 2012,Liga,Atletico Madrid,Atletico Madrid,FC Barcelona,81,1,2,Free kick,Left foot,Won
 6 november 2011,Liga,Athletic de Bilbao,Athletic de Bilbao,FC Barcelona,90+1,2,2,Rebound,Left foot,Draw
